model_name,sample_idx,method,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model2,0,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1395.9284577660897,0,7
model2,0,smc,1,00000 000010 000100 001000 001010 1 10000 100010 10010 100100 10100 101000 101010,13,-1395.949744383186,0,7
model2,0,smc,2,0000 000010 000100 001000 001010 1 100010 10010 100100 10100 101000 101010,12,-1395.977950531222,0,7
model2,0,smc,3,0000 00010 000100 001000 001010 1 10010 100100 10100 101000 101010,11,-1396.027525108444,0,7
model2,0,smc,4,0000 00010 001000 001010 1 100 10010 101000 101010,9,-1397.4529734677667,0,7
model2,0,smc,5,0000 00010 001000 1 100 10010 1010 101000,8,-1397.9738607406293,0,7
model2,0,smc,6,0000 001000 1 10 100 101000,6,-1400.9585602972454,0,7
model2,0,smc,7,000 1 10 100,4,-1402.3871996788544,1,7
model2,0,smc,8,00 1 10,3,-1404.078749879898,0,7
model2,0,smc,9,0 1,2,-1442.8569583618896,0,7
model2,1,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1500.628720471836,0,5
model2,1,smc,1,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-1500.6552566190535,0,5
model2,1,smc,2,00000 000010 000100 001010 1 1000 10000 100010 10010 100100 10100 101010,12,-1500.7079125239397,0,5
model2,1,smc,3,00000 000010 001010 1 100 1000 10000 100010 10010 101010,10,-1500.8365168844218,0,5
model2,1,smc,4,00000 000010 1 100 1000 10000 100010 10010 1010,9,-1500.9732345368989,0,5
model2,1,smc,5,00000 1 10 100 1000 10000,6,-1501.5801925858996,1,5
model2,1,smc,6,000 1 10 100,4,-1503.0377600165073,0,5
model2,1,smc,7,00 1 10,3,-1506.7394910809876,0,5
model2,1,smc,8,0 1,2,-1535.41598125032,0,5
model2,2,smc,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1512.9821108209703,0,6
model2,2,smc,1,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-1513.0179656381574,0,6
model2,2,smc,2,000000 000100 0010 001010 1 1000 10000 100000 100100 10100 101010,11,-1513.255430849036,0,6
