model_name,sample_idx,method,c,tree_idx,tree,num_contexts,likelihood,opt,opt_idx
model1,0,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1652.1114459668952,0,6
model1,0,smc,0.0035651028156280518,1,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-1652.1266252684777,0,6
model1,0,smc,0.00802796877180656,2,000000 000010 000100 1 1000 10000 100000 100010 10010 100100 1010 10100,12,-1652.160799529797,0,6
model1,0,smc,0.05864640060787764,3,000000 000010 1 100 1000 10000 100000 100010 10010 1010,10,-1652.6602851558105,0,6
model1,0,smc,0.13895447160977606,4,000000 1 10 100 1000 10000 100000,7,-1654.4355369618613,0,6
model1,0,smc,0.14104750292369422,5,000 1 10 100,4,-1656.2375004179971,0,6
model1,0,smc,0.21971833627700685,6,00 1 10,3,-1657.1731616573613,1,6
model1,0,smc,3.9055709394026814,7,0 1,2,-1673.8054120192533,0,6
model1,0,smc,405.80808103433026,8,,1,-3401.978321456336,0,6
model1,1,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1654.6401242744105,0,5
model1,1,smc,0.030178576707839966,1,000 000010 000100 001010 1 100010 10010 100100 10100 101010,10,-1655.1541962153858,0,5
model1,1,smc,0.03490195969912957,2,000 000010 000100 1 100010 10010 100100 1010 10100,9,-1655.3028227812529,0,5
model1,1,smc,0.05278216314399865,3,000 000100 1 10 100100 10100,6,-1655.9771563659506,0,5
model1,1,smc,0.16697260682373866,4,000 00100 1 10 10100,5,-1656.6882243802497,0,5
model1,1,smc,0.18252794803336853,5,00 1 10,3,-1658.2428456318405,1,5
model1,1,smc,5.595134111605767,6,0 1,2,-1682.0702643406835,0,5
model1,1,smc,403.573822791781,7,,1,-3400.72836009024,0,5
model1,2,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1674.9372302254496,0,10
model1,2,smc,0.0007040798664093018,1,000000 000010 00100 001000 001010 1 10000 100000 100010 10010 10100 101000 101010,13,-1674.9402281657303,0,10
model1,2,smc,0.001287086977150298,2,000000 000010 001000 001010 1 100 10000 100000 100010 10010 101000 101010,12,-1674.9457083617276,0,10
model1,2,smc,0.03231122472100821,3,000000 000010 001010 1 100 1000 10000 100000 100010 10010 101010,11,-1675.0832807027564,0,10
model1,2,smc,0.03319033641742261,4,00000 000010 001010 1 100 1000 10000 100010 10010 101010,10,-1675.224611370645,0,10
model1,2,smc,0.09073480085421462,5,00000 00010 001010 1 100 1000 10000 10010 101010,9,-1675.611002876342,0,10
model1,2,smc,0.10077729208378751,6,0000 00010 001010 1 100 1000 10010 101010,8,-1676.0401710766405,0,10
model1,2,smc,0.10593205468137637,7,0000 0010 001010 1 100 1000 101010,7,-1676.4912679488762,0,10
model1,2,smc,0.3319049819714164,8,000 0010 001010 1 100 101010,6,-1677.904692752585,0,10
model1,2,smc,0.36894143101104593,9,00 0010 001010 1 101010,5,-1679.4758651640177,0,10
model1,2,smc,0.3948652098122669,10,00 1 10,3,-1682.839004102823,1,10
model1,2,smc,1.9771610351194346,11,0 1,2,-1691.258921151973,0,10
model1,2,smc,401.11955008091377,12,,1,-3399.465264579442,0,10
model1,3,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1689.275580030175,0,5
model1,3,smc,0.0715106725692749,1,000000 000010 001000 001010 1 100 10000 100000 100010 10010 101000 101010,12,-1689.8846084165955,0,5
model1,3,smc,0.11874059770011769,2,000 000010 001010 1 100 100010 10010 101010,8,-1691.9072582239535,0,5
model1,3,smc,0.21204533819506388,3,000 0010 001010 1 100 101010,6,-1693.7132883081304,0,5
model1,3,smc,0.21985023527223052,4,000 1 10 100,4,-1695.5857694979954,0,5
model1,3,smc,0.38139716607255625,5,00 1 10,3,-1697.2099836648226,1,5
model1,3,smc,4.435650018692236,6,0 1,2,-1716.0996003716705,0,5
model1,3,smc,394.45492520269113,7,,1,-3395.923973557884,0,5
model1,4,smc,0.0,0,000000 000010 000100 001000 001010 1 10000 100000 100010 10010 100100 10100 101000 101010,14,-1663.4130832271258,0,5
model1,4,smc,0.005736947059631348,1,000000 000010 000100 001010 1 1000 10000 100000 100010 10010 100100 10100 101010,13,-1663.437503394128,0,5
model1,4,smc,0.022090783825534643,2,000 000010 000100 001010 1 100010 10010 100100 10100 101010,10,-1663.719717808192,0,5
model1,4,smc,0.026918546744783,3,00 000010 001010 1 100010 10010 101010,7,-1664.0635608706823,0,5
